NAME                            VERSION                         TYPE   
adduser                         3.153                           deb     
adwaita-icon-theme              49.0-1                          deb     
apt                             3.1.12                          deb     
at-spi2-common                  2.58.2-1                        deb     
base-files                      14                              deb     
base-passwd                     3.6.8                           deb     
bash                            5.3-1                           deb     
bsdutils                        1:2.41.2-4                      deb     
ca-certificates                 20250419                        deb     
coreutils                       9.7-3                           deb     
curl                            8.17.0-3                        deb     
dash                            0.5.12-12                       deb     
dbus-bin                        1.16.2-2                        deb     
dbus-daemon                     1.16.2-2                        deb     
dbus-session-bus-common         1.16.2-2                        deb     
dbus-x11                        1.16.2-2                        deb     
dconf-gsettings-backend         0.49.0-2                        deb     
dconf-service                   0.49.0-2                        deb     
debconf                         1.5.91                          deb     
debian-archive-keyring          2025.1                          deb     
debianutils                     5.23.2                          deb     
desktop-file-utils              0.28-1                          deb     
diffutils                       1:3.12-1                        deb     
dpkg                            1.22.21                         deb     
findutils                       4.10.0-3                        deb     
fontconfig                      2.15.0-2.4                      deb     
fontconfig-config               2.15.0-2.4                      deb     
fonts-liberation                1:2.1.5-3                       deb     
fonts-noto                      20201225-2                      deb     
fonts-noto-core                 20201225-2                      deb     
fonts-noto-mono                 20201225-2                      deb     
gcc-15-base                     15.2.0-9                        deb     
grep                            3.12-1                          deb     
gtk-update-icon-cache           4.20.3+ds-2                     deb     
gzip                            1.13-1                          deb     
hicolor-icon-theme              0.18-2                          deb     
hostname                        3.25                            deb     
init-system-helpers             1.69                            deb     
iso-codes                       4.19.0-1                        deb     
keyboard-configuration          1.244                           deb     
libabsl20240722                 20240722.0-4                    deb     
libacl1                         2.3.2-2+b1                      deb     
libaom3                         3.13.1-2                        deb     
libapparmor1                    4.1.0-1                         deb     
libapt-pkg7.0                   3.1.12                          deb     
libasound2-data                 1.2.14-2                        deb     
libasound2-plugins              1.2.12-2+b1                     deb     
libasound2t64                   1.2.14-2                        deb     
libasyncns0                     0.8-7                           deb     
libatk-bridge2.0-0t64           2.58.2-1                        deb     
libatk1.0-0t64                  2.58.2-1                        deb     
libatomic1                      15.2.0-9                        deb     
libatspi2.0-0t64                2.58.2-1                        deb     
libattr1                        1:2.5.2-3                       deb     
