NAME                                    VERSION                                    TYPE                          
Java-WebSocket                          1.6.0                                      java-archive                   
adduser                                 3.134                                      deb                            
adwaita-icon-theme                      43-1                                       deb                            
agent                                   UNKNOWN                                    java-archive                   
aho-corasick-double-array-trie          1.2.3                                      java-archive                   
allopen-compiler-plugin                 2.1.21-release-317                         java-archive                   
allopen-compiler-plugin                 2.2.20-dev-5812                            java-archive                   
allopen-compiler-plugin                 UNKNOWN                                    java-archive                   
android-extensions-compiler             2.1.21-release-317                         java-archive                   
android-extensions-runtime              2.1.21-release-317                         java-archive                   
animal-sniffer-annotations              1.14                                       java-archive                   
annotations                             13.0                                       java-archive  (+2 duplicates)  
annotations                             UNKNOWN                                    java-archive                   
ant                                     1.10.14                                    java-archive                   
ant-antlr                               1.10.14                                    java-archive                   
ant-apache-bcel                         1.10.14                                    java-archive                   
ant-apache-bsf                          1.10.14                                    java-archive                   
ant-apache-log4j                        1.10.14                                    java-archive                   
ant-apache-oro                          1.10.14                                    java-archive                   
ant-apache-regexp                       1.10.14                                    java-archive                   
ant-apache-resolver                     1.10.14                                    java-archive                   
ant-apache-xalan2                       1.10.14                                    java-archive                   
ant-commons-logging                     1.10.14                                    java-archive                   
ant-commons-net                         1.10.14                                    java-archive                   
ant-imageio                             1.10.14                                    java-archive                   
ant-jai                                 1.10.14                                    java-archive                   
ant-jakartamail                         1.10.14                                    java-archive                   
ant-javamail                            1.10.14                                    java-archive                   
ant-jdepend                             1.10.14                                    java-archive                   
ant-jmf                                 1.10.14                                    java-archive                   
ant-jsch                                1.10.14                                    java-archive                   
ant-junit                               1.10.14                                    java-archive                   
ant-junit4                              1.10.14                                    java-archive                   
ant-junitlauncher                       1.10.14                                    java-archive                   
ant-launcher                            UNKNOWN                                    java-archive                   
ant-netrexx                             1.10.14                                    java-archive                   
ant-swing                               1.10.14                                    java-archive                   
ant-testutil                            UNKNOWN                                    java-archive                   
ant-xz                                  1.10.14                                    java-archive                   
aopalliance                             1.0                                        java-archive                   
api                                     3.5.2                                      java-archive                   
apt                                     2.6.1                                      deb                            
archetype-catalog                       2.2                                        java-archive                   
archetype-catalog                       3.2.1                                      java-archive                   
archetype-common                        2.2                                        java-archive                   
archetype-common                        3.2.1                                      java-archive                   
archetype-descriptor                    2.2                                        java-archive                   
asciidoctor-vscode                      3.3.2-dev                                  npm                            
assertj-swing                           3.17.1                                     java-archive  (+1 duplicate)   
assignment-compiler-plugin              2.1.21-release-317                         java-archive                   
assignment-compiler-plugin              2.2.20-dev-5812                            java-archive                   
assignment-compiler-plugin              UNKNOWN                                    java-archive                   
async-profiler                          UNKNOWN                                    java-archive                   
at-spi2-common                          2.46.0-5                                   deb                            
base-files                              12.4+deb12u11                              deb                            
base-passwd                             3.6.1                                      deb                            
bash                                    5.2.15-2+b8                                deb                            
bat                                     1.0.0                                      npm                            
bouncy-castle-pgp                       1.80                                       java-archive                   
bsdutils                                1:2.38.1-5+deb12u3                         deb                            
ca-certificates                         20230311+deb12u1                           deb                            
ca-certificates-java                    20230710~deb12u1                           deb                            
ca-certificates-java                    UNKNOWN                                    java-archive                   
carrotsearch-hppc                       0.9.1                                      java-archive                   
catalog-no-trans                        321                                        java-archive                   
client                                  UNKNOWN                                    java-archive                   
clikt                                   UNKNOWN                                    java-archive                   
clojure                                 1.0.0                                      npm                            
cloud-config-client                     UNKNOWN                                    java-archive                   
cmake                                   0.0.17                                     npm                            
coffeescript                            1.0.0                                      npm                            
common-no-trans                         3.2.1                                      java-archive                   
commons-cli                             1.8.0                                      java-archive                   
commons-codec                           1.11                                       java-archive  (+1 duplicate)   
commons-codec                           1.17.1                                     java-archive                   
commons-discovery                       0.4                                        java-archive                   
commons-io                              2.18.0                                     java-archive  (+1 duplicate)   
commons-lang3                           3.8.1                                      java-archive  (+1 duplicate)   
commons-text                            1.13.0                                     java-archive                   
completion-ranking-java                 UNKNOWN                                    java-archive                   
completion-ranking-kotlin               UNKNOWN                                    java-archive                   
completion-ranking-sh                   UNKNOWN                                    java-archive                   
compose-compiler-plugin                 2.1.21-release-317                         java-archive                   
compose-compiler-plugin                 2.2.20-dev-5812                            java-archive                   
compose-compiler-plugin                 UNKNOWN                                    java-archive                   
configuration                           UNKNOWN                                    java-archive                   
core                                    6.6.0                                      java-archive                   
core                                    UNKNOWN                                    java-archive                   
coreutils                               9.1-1                                      deb                            
cpp                                     1.0.0                                      npm                            
csharp                                  1.0.0                                      npm                            
css                                     1.0.0                                      npm                            
curl                                    7.88.1-10+deb12u12                         deb                            
dart                                    1.0.0                                      npm                            
dash                                    0.5.12-2                                   deb                            
dbus-bin                                1.14.10-1~deb12u1                          deb                            
dbus-daemon                             1.14.10-1~deb12u1                          deb                            
dbus-session-bus-common                 1.14.10-1~deb12u1                          deb                            
dbus-x11                                1.14.10-1~deb12u1                          deb                            
debconf                                 1.5.82                                     deb                            
debian-archive-keyring                  2023.3+deb12u2                             deb                            
debianutils                             5.7-0.5~deb12u1                            deb                            
debug                                   0.21.0.v20230517-2120                      java-archive  (+1 duplicate)   
debugger-agent                          1.53                                       java-archive                   
debugger-memory-agent                   UNKNOWN                                    java-archive                   
default-jdk                             2:1.17-74                                  deb                            
default-jdk-headless                    2:1.17-74                                  deb                            
default-jre                             2:1.17-74                                  deb                            
default-jre-headless                    2:1.17-74                                  deb                            
desktop-file-utils                      0.26-1                                     deb                            
diff                                    1.0.0                                      npm                            
diffutils                               1:3.8-4                                    deb                            
docker                                  1.0.0                                      npm                            
dpkg                                    1.21.22                                    deb                            
e2fsprogs                               1.47.0-2                                   deb                            
eclipse                                 3.31.0.v20220831-1439                      java-archive                   
emoji-java                              5.1.1                                      java-archive                   
erlang-ls                               0.0.43                                     npm                            
error_prone_annotations                 2.1.3                                      java-archive                   
error_prone_annotations                 2.28.0                                     java-archive                   
failureaccess                           1.0.2                                      java-archive  (+2 duplicates)  
fest-reflect                            1.4.1                                      java-archive  (+1 duplicate)   
fest-util                               1.2.5                                      java-archive  (+1 duplicate)   
findutils                               4.9.0-4                                    deb                            
fontconfig                              2.14.1-4                                   deb                            
fontconfig-config                       2.14.1-4                                   deb                            
fonts-dejavu-core                       2.37-6                                     deb                            
fonts-noto                              20201225-1                                 deb                            
fonts-noto-core                         20201225-1                                 deb                            
fsharp                                  1.0.0                                      npm                            
gcc-12-base                             12.2.0-14+deb12u1                          deb                            
git                                     1:2.39.5-0+deb12u2                         deb                            
git-base                                1.0.0                                      npm                            
git-man                                 1:2.39.5-0+deb12u2                         deb                            
go                                      1.0.0                                      npm                            
gpgv                                    2.2.40-1.1                                 deb                            
gragent                                 1.0.0                                      java-archive                   
grep                                    3.8-5                                      deb                            
groovy                                  1.0.0                                      npm                            
grpc-kotlin-stub                        UNKNOWN                                    java-archive                   
grpc-stub                               1.73.0                                     java-archive  (+1 duplicate)   
gtk-update-icon-cache                   3.24.38-2~deb12u3                          deb                            
guava                                   25.1-android                               java-archive                   
guava                                   33.2.1-jre                                 java-archive                   
guava                                   33.3.1-jre                                 java-archive                   
guice                                   5.1.0                                      java-archive                   
gzip                                    1.12-1                                     deb                            
handlebars                              1.0.0                                      npm                            
hcl                                     0.5.0                                      npm                            
hicolor-icon-theme                      0.17-2                                     deb                            
hlsl                                    1.0.0                                      npm                            
hostname                                3.23+nmu1                                  deb                            
html                                    1.0.0                                      npm                            
http-client                             3.1                                        java-archive                   
httpclient                              4.5.14                                     java-archive  (+2 duplicates)  
httpcore                                4.4.16                                     java-archive  (+2 duplicates)  
ice4j                                   3.0-54-g2baae57                            java-archive                   
idea_rt                                 UNKNOWN                                    java-archive                   
indexer-core                            6.2.2                                      java-archive                   
indriya                                 1.3                                        java-archive                   
ini                                     1.0.0                                      npm                            
ini4j                                   0.5.5-2                                    java-archive  (+1 duplicate)   
init-system-helpers                     1.65.2                                     deb                            
intellij-test-discovery                 UNKNOWN                                    java-archive                   
iso-codes                               4.15.0-1                                   deb                            
j2objc-annotations                      1.1                                        java-archive                   
j2objc-annotations                      3.0.0                                      java-archive                   
jackson-core                            2.16.0                                     java-archive                   
jackson-dataformat-toml                 2.19.0                                     java-archive                   
jacocoagent                             0.8.13                                     java-archive                   
jansi                                   2.4.1                                      java-archive                   
jansi                                   UNKNOWN                                    binary        (+1 duplicate)   
jar                                     UNKNOWN                                    java-archive                   
java                                    1.0.0                                      npm                            
java-common                             0.74                                       deb                            
java-websocket                          1.6.0                                      java-archive                   
javascript                              1.0.0                                      npm                            
javax.activation                        1.2.0                                      java-archive                   
javax.annotation-api                    1.2                                        java-archive  (+1 duplicate)   
javax.annotation-api                    1.3.2                                      java-archive  (+1 duplicate)   
jaxb-api                                2.3.1                                      java-archive                   
jb-jdi                                  UNKNOWN                                    java-archive                   
jcl-over-slf4j                          1.7.36                                     java-archive  (+2 duplicates)  
jgoodies-common                         1.4.0 2012-07-24 10:26:20                  java-archive                   
jitsi-utils                             1.0-112-gd92472a                           java-archive                   
jline                                   3.24.1                                     java-archive                   
jline-builtins                          3.24.1                                     java-archive                   
jline-reader                            3.24.1                                     java-archive                   
jline-remote-ssh                        3.24.1                                     java-archive                   
jline-remote-telnet                     3.24.1                                     java-archive                   
jline-style                             3.24.1                                     java-archive                   
jline-terminal                          3.24.1                                     java-archive                   
jline-terminal-jansi                    3.24.1                                     java-archive                   
jline-terminal-jna                      3.24.1                                     java-archive                   
jline-terminal-jni                      3.24.1                                     java-archive                   
jnaerator-runtime                       UNKNOWN                                    java-archive                   
jrt-fs                                  17.0.15                                    java-archive                   
jrt-fs                                  21.0.7                                     java-archive                   
js-plain-objects-compiler-plugin        UNKNOWN                                    java-archive                   
json                                    1.0.0                                      npm                            
json                                    20240205                                   java-archive                   
jsonrpc                                 0.21.1.v20230829-0012                      java-archive                   
jsonschema                              UNKNOWN                                    java-archive                   
jsr305                                  3.0.2                                      java-archive  (+3 duplicates)  
jstun                                   0.7.5.20200723                             java-archive                   
julia                                   1.0.0                                      npm                            
jvm-abi-gen                             2.1.21-release-317                         java-archive                   
jvm-abi-gen                             2.2.20-dev-5812                            java-archive                   
kconfig-lang                            1.2.0                                      npm                            
keyboard-configuration                  1.221                                      deb                            
kotlin                                  UNKNOWN                                    java-archive                   
kotlin-annotation-processing            2.1.21-release-317                         java-archive                   
kotlin-annotation-processing            2.2.20-dev-5812                            java-archive                   
kotlin-annotation-processing-cli        UNKNOWN                                    java-archive  (+1 duplicate)   
kotlin-annotation-processing-compiler   2.1.21-release-317                         java-archive                   
kotlin-annotation-processing-runtime    2.1.21-release-317                         java-archive                   
kotlin-annotation-processing-runtime    2.2.20-dev-5812                            java-archive                   
kotlin-annotations-jvm                  UNKNOWN                                    java-archive  (+1 duplicate)   
kotlin-annotations-jvm-sources          UNKNOWN                                    java-archive  (+1 duplicate)   
kotlin-ant                              2.1.21-release-317                         java-archive                   
kotlin-ant                              2.2.20-dev-5812                            java-archive                   
kotlin-compiler                         2.1.21-release-317                         java-archive                   
kotlin-compiler                         2.2.20-dev-5812                            java-archive                   
kotlin-compiler-common                  UNKNOWN                                    java-archive                   
kotlin-compiler-fe10                    UNKNOWN                                    java-archive                   
kotlin-compiler-ir                      UNKNOWN                                    java-archive                   
kotlin-daemon                           2.1.21-release-317                         java-archive                   
kotlin-daemon                           2.2.20-dev-5812                            java-archive                   
kotlin-daemon-client                    2.1.21-release-317                         java-archive                   
kotlin-daemon-client                    2.2.20-dev-5812                            java-archive                   
kotlin-dataframe-compiler-plugin        UNKNOWN                                    java-archive                   
kotlin-imports-dumper-compiler-plugin   2.1.21-release-317                         java-archive                   
kotlin-jps-common                       UNKNOWN                                    java-archive                   
kotlin-jps-plugin                       UNKNOWN                                    java-archive                   
kotlin-main-kts                         2.1.21-release-317                         java-archive                   
kotlin-main-kts                         2.2.20-dev-5812                            java-archive                   
kotlin-metadata                         2.2.0-RC2-release-261                      java-archive                   
kotlin-metadata-jvm                     2.1.21-release-317                         java-archive                   
kotlin-metadata-jvm                     2.2.20-dev-5812                            java-archive                   
kotlin-metadata-jvm-sources             UNKNOWN                                    java-archive  (+1 duplicate)   
kotlin-preloader                        2.1.21-release-317                         java-archive                   
kotlin-preloader                        2.2.20-dev-5812                            java-archive                   
kotlin-reflect                          2.1.21-release-317                         java-archive                   
kotlin-reflect                          2.2.20-dev-5812                            java-archive                   
kotlin-reflect-sources                  UNKNOWN                                    java-archive  (+1 duplicate)   
kotlin-runner                           2.1.21-release-317                         java-archive                   
kotlin-runner                           2.2.20-dev-5812                            java-archive                   
kotlin-script-runtime                   2.1.21-release-317                         java-archive                   
kotlin-script-runtime                   2.2.20-dev-5812                            java-archive                   
kotlin-script-runtime-sources           UNKNOWN                                    java-archive  (+1 duplicate)   
kotlin-scripting-common                 2.1.21-release-317                         java-archive                   
kotlin-scripting-common                 2.2.20-dev-5812                            java-archive                   
kotlin-scripting-compiler               2.1.21-release-317                         java-archive                   
kotlin-scripting-compiler               2.2.20-dev-5812                            java-archive                   
kotlin-scripting-compiler-impl          2.1.21-release-317                         java-archive                   
kotlin-scripting-compiler-impl          2.2.20-dev-5812                            java-archive                   
kotlin-scripting-jvm                    2.1.21-release-317                         java-archive                   
kotlin-scripting-jvm                    2.2.20-dev-5812                            java-archive                   
kotlin-serialization-compiler-plugin    2.1.21-release-317                         java-archive                   
kotlin-serialization-compiler-plugin    2.2.20-dev-5812                            java-archive                   
kotlin-stdlib                           2.1.21-release-317                         java-archive                   
kotlin-stdlib                           2.2.20-dev-5812                            java-archive                   
kotlin-stdlib-jdk7                      2.1.21-release-317                         java-archive                   
kotlin-stdlib-jdk7                      2.2.20-dev-5812                            java-archive                   
kotlin-stdlib-jdk7-sources              UNKNOWN                                    java-archive  (+1 duplicate)   
kotlin-stdlib-jdk8                      2.1.21-release-317                         java-archive                   
kotlin-stdlib-jdk8                      2.2.20-dev-5812                            java-archive                   
kotlin-stdlib-jdk8-sources              UNKNOWN                                    java-archive  (+1 duplicate)   
kotlin-stdlib-js-sources                UNKNOWN                                    java-archive  (+1 duplicate)   
kotlin-stdlib-sources                   UNKNOWN                                    java-archive  (+1 duplicate)   
kotlin-test                             2.1.21-release-317                         java-archive                   
kotlin-test                             2.2.20-dev-5812                            java-archive                   
kotlin-test-js-sources                  UNKNOWN                                    java-archive  (+1 duplicate)   
kotlin-test-junit                       2.1.21-release-317                         java-archive                   
kotlin-test-junit                       2.2.20-dev-5812                            java-archive                   
kotlin-test-junit-sources               UNKNOWN                                    java-archive  (+1 duplicate)   
kotlin-test-junit5                      2.1.21-release-317                         java-archive                   
kotlin-test-junit5                      2.2.20-dev-5812                            java-archive                   
kotlin-test-junit5-sources              UNKNOWN                                    java-archive  (+1 duplicate)   
kotlin-test-sources                     UNKNOWN                                    java-archive  (+1 duplicate)   
kotlin-test-testng                      2.1.21-release-317                         java-archive                   
kotlin-test-testng                      2.2.20-dev-5812                            java-archive                   
kotlin-test-testng-sources              UNKNOWN                                    java-archive  (+1 duplicate)   
kotlinx-coroutines-core-jvm             UNKNOWN                                    java-archive  (+1 duplicate)   
kotlinx-coroutines-slf4j                1.10.1-intellij                            java-archive                   
kotlinx-serialization-compiler-plugin   2.1.21-release-317                         java-archive                   
kotlinx-serialization-compiler-plugin   2.2.20-dev-5812                            java-archive                   
kotlinx-serialization-compiler-plugin   UNKNOWN                                    java-archive                   
ktor-client-logging                     3.0.3                                      java-archive                   
language-viml                           1.2.1                                      npm                            
latex                                   1.0.0                                      npm                            
less                                    1.0.0                                      npm                            
libacl1                                 2.3.1-3                                    deb                            
libaom3                                 3.6.0-1+deb12u1                            deb                            
libapparmor1                            3.0.8-3                                    deb                            
libapt-pkg6.0                           2.6.1                                      deb                            
libasound2                              1.2.8-1+b1                                 deb                            
libasound2-data                         1.2.8-1                                    deb                            
libasound2-plugins                      1.2.7.1-1                                  deb                            
libasyncns0                             0.8-6+b3                                   deb                            
libatk1.0-0                             2.46.0-5                                   deb                            
libattr1                                1:2.5.1-4                                  deb                            
libaudit-common                         1:3.0.9-1                                  deb                            
libaudit1                               1:3.0.9-1                                  deb                            
libavahi-client3                        0.8-10+deb12u1                             deb                            
libavahi-common-data                    0.8-10+deb12u1                             deb                            
libavahi-common3                        0.8-10+deb12u1                             deb                            
libavcodec59                            7:5.1.6-0+deb12u1                          deb                            
libavutil57                             7:5.1.6-0+deb12u1                          deb                            
libblkid1                               2.38.1-5+deb12u3                           deb                            
libbrotli1                              1.0.9-2+b6                                 deb                            
libbsd0                                 0.11.7-2                                   deb                            
libbz2-1.0                              1.0.8-5+b1                                 deb                            
libc-bin                                2.36-9+deb12u10                            deb                            
libc6                                   2.36-9+deb12u10                            deb                            
libcairo-gobject2                       1.16.0-7                                   deb                            
libcairo2                               1.16.0-7                                   deb                            
libcap-ng0                              0.8.3-1+b3                                 deb                            
libcap2                                 1:2.66-4+deb12u1                           deb                            
libcap2-bin                             1:2.66-4+deb12u1                           deb                            
libcbor0.8                              0.8.0-2+b1                                 deb                            
libcodec2-1.0                           1.0.5-1                                    deb                            
libcom-err2                             1.47.0-2                                   deb                            
libcrypt1                               1:4.4.33-2                                 deb                            
libcups2                                2.4.2-3+deb12u8                            deb                            
libcurl3-gnutls                         7.88.1-10+deb12u12                         deb                            
libcurl4                                7.88.1-10+deb12u12                         deb                            
libdatrie1                              0.2.13-2+b1                                deb                            
libdav1d6                               1.0.0-2+deb12u1                            deb                            
libdb5.3                                5.3.28+dfsg2-1                             deb                            
libdbus-1-3                             1.14.10-1~deb12u1                          deb                            
libdebconfclient0                       0.270                                      deb                            
libdeflate0                             1.14-1                                     deb                            
libdrm-amdgpu1                          2.4.114-1+b1                               deb                            
libdrm-common                           2.4.114-1                                  deb                            
libdrm-intel1                           2.4.114-1+b1                               deb                            
libdrm-nouveau2                         2.4.114-1+b1                               deb                            
libdrm-radeon1                          2.4.114-1+b1                               deb                            
libdrm2                                 2.4.114-1+b1                               deb                            
libdw1                                  0.188-2.1                                  deb                            
libedit2                                3.1-20221030-2                             deb                            
libegl-mesa0                            22.3.6-1+deb12u1                           deb                            
libegl1                                 1.6.0-1                                    deb                            
libelf1                                 0.188-2.1                                  deb                            
libepoxy0                               1.5.10-1                                   deb                            
liberror-perl                           0.17029-2                                  deb                            
libexpat1                               2.5.0-1+deb12u1                            deb                            
libext2fs2                              1.47.0-2                                   deb                            
libffi8                                 3.4.4-1                                    deb                            
libfftw3-single3                        3.3.10-1                                   deb                            
libfido2-1                              1.12.0-2+b1                                deb                            
libflac12                               1.4.2+ds-2                                 deb                            
libfontconfig1                          2.14.1-4                                   deb                            
libfontenc1                             1:1.1.4-1                                  deb                            
libfreetype6                            2.12.1+dfsg-5+deb12u4                      deb                            
libfribidi0                             1.0.8-2.1                                  deb                            
libgbm1                                 22.3.6-1+deb12u1                           deb                            
libgcc-s1                               12.2.0-14+deb12u1                          deb                            
libgcrypt20                             1.10.1-3                                   deb                            
libgdbm-compat4                         1.23-3                                     deb                            
libgdbm6                                1.23-3                                     deb                            
libgdk-pixbuf-2.0-0                     2.42.10+dfsg-1+deb12u2                     deb                            
libgdk-pixbuf2.0-common                 2.42.10+dfsg-1+deb12u2                     deb                            
libgif7                                 5.2.1-2.5                                  deb                            
libgl1                                  1.6.0-1                                    deb                            
libgl1-mesa-dri                         22.3.6-1+deb12u1                           deb                            
libglapi-mesa                           22.3.6-1+deb12u1                           deb                            
libglib2.0-0                            2.74.6-2+deb12u6                           deb                            
libglvnd0                               1.6.0-1                                    deb                            
libglx-mesa0                            22.3.6-1+deb12u1                           deb                            
libglx0                                 1.6.0-1                                    deb                            
libgmp10                                2:6.2.1+dfsg1-1.1                          deb                            
libgnutls30                             3.7.9-2+deb12u5                            deb                            
libgomp1                                12.2.0-14+deb12u1                          deb                            
libgpg-error0                           1.46-1                                     deb                            
libgraphite2-3                          1.3.14-1                                   deb                            
libgsm1                                 1.0.22-1                                   deb                            
libgssapi-krb5-2                        1.20.1-2+deb12u3                           deb                            
libgstreamer-plugins-base1.0-0          1.22.0-3+deb12u4                           deb                            
libgstreamer1.0-0                       1.22.0-2+deb12u1                           deb                            
libgtk2.0-0                             2.24.33-2+deb12u1                          deb                            
libgtk2.0-common                        2.24.33-2+deb12u1                          deb                            
libharfbuzz0b                           6.0.0+dfsg-3                               deb                            
libhogweed6                             3.8.1-2                                    deb                            
libhwy1                                 1.0.3-3+deb12u1                            deb                            
